,index,year,colors,count
0,0,1862,"#D9D0C7,#241E26,#3F3A40,#8B888C,#D8D7D9","2, 1, 1, 1, 1"
1,1,1864,"#F2EADF,#BFBBB8,#736E6C,#0D0A0A,#403B3B","1, 1, 1, 1, 1"
2,2,1867,"#848C84,#3A4039,#52594F,#F2F2F2,#D9D9D9","1, 1, 1, 1, 1"
3,3,1873,"#BF8C4E,#A67041,#402A17,#BF996B,#D9CE9A","1, 1, 1, 1, 1"
4,4,1874,"#262526,#F2EFE9,#737272,#BFBCBA,#0D0000","1, 1, 1, 1, 1"
5,5,1875,"#403B2C,#A69472,#F2DBAE,#F2D6B3,#736656","1, 1, 1, 1, 1"
6,6,1876,"#F2DA91,#BF9460,#594B2F,#D9D2BF,#F2EDD0","1, 1, 1, 1, 1"
7,7,1877,"#403E33,#D9B97E,#8C7D61,#D9C49C,#73675D","1, 1, 1, 1, 1"
8,8,1878,"#F2EFBD,#F2D8A7,#8C704F,#BF9F78,#260F01","1, 1, 1, 1, 1"
9,9,1879,"#F2EADF,#8C8887,#261E21,#734917,#F2CC85","2, 2, 1, 1, 1"
10,10,1880,"#BFBFBF,#8C8C8C,#3C3F40,#565959,#F2F2F2","1, 1, 1, 1, 1"
11,11,1881,"#0D0D0D,#F1F2E9,#D9C6B0,#F2E0D0,#737065","4, 4, 4, 3, 3"
12,12,1882,"#0D0D0D,#F2F2F2,#D9D9D9,#A6A6A6,#D7D9CC","17, 12, 11, 10,  9"
13,13,1883,"#0D0D0D,#D9D9D9,#F2F2F2,#8C8C8C,#404040","22, 11,  9,  8,  7"
14,14,1884,"#0D0D0D,#D8D9D7,#BFBFBF,#262626,#595959","14,  8,  6,  6,  6"
15,15,1885,"#0D0D0D,#D7D9CC,#D9C8B4,#D9D9D9,#F2E2C4","32, 15, 14, 12, 12"
16,16,1886,"#0D0D0D,#737065,#F2F2F2,#D9D9D9,#260101","10,  6,  6,  5,  5"
17,17,1887,"#260101,#D9B36C,#F2E1C2,#F2D272,#0D0000","11,  4,  4,  3,  3"
18,18,1888,"#F2F2F2,#0D0D0D,#595959,#8C8C8C,#D9D9D9","14, 11,  7,  7,  6"
19,19,1889,"#0D0D0D,#F2F2F2,#8C8C88,#A6A498,#BFBFBD","7, 7, 5, 5, 5"
20,20,1890,"#D9D7CC,#A6A498,#8C8A80,#737065,#403D32","14, 13, 12, 12,  9"
